Team,Hde,Hatt,Hpo,Htot,Ade,Aatt,Apo,Atot
Burnley,33.53,50.34,-41.32,42.55,21.37,27.29,-31.82,16.87
Crystal Palace,18.53,47.68,-26.71,39.47,-7.29,56.58,-23.74,25.55
Everton,51,87.66,-9.21,129.42,16.79,48.42,-5.26,59.92
Hull,10.53,48.87,-23.13,36.24,-4.82,31.18,-13.87,12.5
Man City,12.84,82.34,35.37,130.53,22,83.16,29.53,134.68
Middlesbrough,33.68,47.44,-10.89,70.53,12.24,31.45,-20.68,23
Southampton,31.42,49.42,-3.42,77.42,24.11,54.79,-0.13,78.76
Arsenal,41.61,87.34,26.47,155.42,14.63,74.55,15.32,104.53
Bournemouth,24.16,72.29,-4.08,92.37,13.34,46.76,-9.87,50.24
Chelsea,32.62,106.42,27.42,166.76,41.32,63.95,10.89,116.16
Man United,47.58,70.32,35,152.89,34.58,60.54,22.63,117.66
Leicester,30.08,59.71,-36.66,53.13,-4.5,36.71,-44.5,-12.29
Stoke,35.66,59.08,-23.08,71.66,21.74,34.03,-20.11,35.66
Swansea,17.18,54.61,-4.61,67.18,-1.58,36.53,-17.24,17.71
Tottenham,47.97,94.97,19.55,162.5,27.34,80.92,3.34,111.61
Watford,15.84,51.03,-24.53,42.34,2.68,38.63,-28.92,12.42
West Brom,32.32,54.97,-33.05,52.24,6.79,39.21,-45,-12.29
Sunderland,29.24,40.68,-23.24,46.68,20,38.58,-29.37,29.18
West Ham,37.84,50.53,0.53,88.87,17.26,58.18,-9.34,66.11
Liverpool,14.18,90.82,17,122.03,17.13,79.42,17.97,117.53
,,,,,,,,
,,,,,,,,
